No.,大項目,中項目,ページ,単語,品詞,意味,発音,例文,和訳
63,ＮＨ,１年,8-9,run,名詞,走る、運行している,[ラン],I run every day to stay healthy.,健康を保つために毎日走ります。
64,ＮＨ,１年,8-9,cut,名詞,…を切る,[カット],She will cut the paper with scissors.,彼女はハサミで紙を切ります。
65,ＮＨ,１年,8-9,jump,名詞,とぶ,[ジャンプ],I can jump very high.,私はとても高くジャンプできます。
66,ＮＨ,１年,8-9,hot,名詞,熱い、暑い,[ホット],This soup is too hot.,このスープはとても熱いです。
67,ＮＨ,１年,11-13,South Africa,固有名詞,南アフリカ共和国,[サウス アフリカ],I want to visit South Africa someday.,いつか南アフリカを訪れたいです。
68,ＮＨ,１年,11-13,call,動詞,…を（～と）呼ぶ、名づける,[コール],I will call you later.,後であなたに電話します。
69,ＮＨ,１年,11-13,love,名詞,…が好きである,[ラブ],I love playing soccer.,サッカーをするのが大好きです。
70,ＮＨ,１年,11-13,sweet,名詞,甘い菓子、キャンディー,[スウィート],The cake tastes sweet.,このケーキは甘いです。
71,ＮＨ,１年,11-13,club,名詞,クラブ、部,[クラブ],We belong to the same club.,私たちは同じクラブに所属しています。
72,ＮＨ,１年,11-13,number,名詞,数、数字,[ナンバー],My favorite number is seven.,私の好きな数字はです。
73,ＮＨ,１年,11-13,twelve,数詞,12（の）,[トゥエルブ],There are twelve months in a year.,年には１２ヶ月があります。
74,ＮＨ,１年,11-13,everyone,代名詞,みなさん、みんな,[エブリワン],Everyone is excited for the party.,みんなパーティーに興奮しています。
75,ＮＨ,１年,11-13,me,動詞,私を[に],[ミー],Can you help me?,手伝ってくれますか？
76,ＮＨ,１年,11-13,join,動詞（または名詞）,…に加わる、参加する,[ジョイン],Please join us for dinner.,夕食に参加してください。
77,ＮＨ,１年,11-13,Japanese,形容詞,日本の、日本人の,[ジャパニーズ],I speak Japanese.,私は日本語を話します。
78,ＮＨ,１年,11-13,too,名詞,…もまた。そのうえ,[トゥー],This book is too big.,この本はとても大きいです。
79,ＮＨ,１年,11-13,and,名詞,…と～,[アンド],I like coffee and tea.,私はコーヒーと紅茶が好きです。
80,ＮＨ,１年,11-13,from,前置詞,…から、…出身の,[フロム],She is from Japan.,彼女は日本から来ました。
81,ＮＨ,１年,11-13,the,冠詞,その,[ザ],The cat is sleeping.,猫が寝ています。
82,ＮＨ,１年,11-13,Call me ….,,私を…と呼んでください。,[コール ミー],Call me when you arrive.,着いたら私に電話してください。
83,ＮＨ,１年,11-13,want to,,…したい,[ウォント トゥ],I want to go home.,私は家に帰りたいです。
84,ＮＨ,１年,14-15,fan,名詞,ファン,[ファン],I'm a big fan of Mrs.,私はミセスの大ファンです。
85,ＮＨ,１年,14-15,often,副詞,しばしば、よく,[オフン],I often go to the gym.,私はよくジムに行きます。
86,ＮＨ,１年,14-15,but,接続詞,しかし、けれども,[バット],"I like pizza, but I don't like pasta.",ピザは好きですが、パスタは好きではありません。
87,ＮＨ,１年,14-15,with,前置詞,…といっしょに,[ウィズ],I study with my friend.,私は友達と一緒に勉強します。
88,ＮＨ,１年,14-15,friend,名詞（または動詞）,友達,[フレンド],I study with him.,私は彼と一緒に勉強します。
89,ＮＨ,１年,14-15,rugby,名詞,ラグビー,[ラグビー],I play rugby on the weekends.,週末にラグビーをします。
90,ＮＨ,１年,14-15,watch,動詞,…を（注意して）見る,[ウォッチ],I watch movies every night.,私は毎晩映画を見ます。
91,ＮＨ,１年,14-15,great,形容詞,すばらしい,[グレート],That was a great movie.,あれは素晴らしい映画でした。
92,ＮＨ,１年,14-15,no,形容詞,いいえ、いや,[ノー],"No, I don't like that.",いいえ、それは好きではありません。
93,ＮＨ,１年,14-15,not,副詞,…でない、…しない,[ノット],I am not tired.,私は疲れていません。
94,ＮＨ,１年,14-15,oh,感動詞,まあ、あら,[オー],"Oh, I forgot my keys.",ああ、鍵を忘れました。
95,ＮＨ,１年,14-15,don't,,do not の短縮形,[ドント],I don't like running.,私は走るのが好きではありません。
96,ＮＨ,１年,16-17,comic,名詞,マンガ,[コミック],I read a comic every week.,私は毎週漫画を読みます。
97,ＮＨ,１年,16-17,anime,名詞,アニメ,[アニメ],I love anime.,私はアニメが大好きです。
98,ＮＨ,１年,16-17,lesson,名詞,授業、レッスン,[レッスン],I have a math lesson today.,今日は数学の授業があります。
99,ＮＨ,１年,16-17,draw,動詞,（線画）をかく,[ドロー],I like to draw pictures.,私は絵を描くのが好きです。
100,ＮＨ,１年,16-17,so,接続詞,だから、それで,[ソー],The cake is so delicious.,このケーキはとても美味しいです。
101,ＮＨ,１年,16-17,about,副詞,…について、…に関する,[アバウト],I'm talking about my trip.,私は旅行について話しています。
102,ＮＨ,１年,16-17,an,冠詞（不定冠詞）,1つの、1人の,[アン],I have an art class tomorrow.,明日は美術の授業があります。
103,ＮＨ,１年,16-17,art,名詞,芸術、美術,[アート],I have an art class today.,今日は美術の授業があります。
104,ＮＨ,１年,16-17,school,名詞,学校,[スクール],I go to school every day.,私は毎日学校に行きます。
105,ＮＨ,１年,16-17,swimming,名詞（動名詞）,水泳,[スイミング],I like swimming in the pool.,私はプールで泳ぐのが好きです。
106,ＮＨ,１年,16-17,are,動詞（be動詞）,…です、（…に）いる,[アー],They are my friends.,彼らは私の友達です。
107,ＮＨ,１年,16-17,take,動詞,…を利用する、…を受ける,[テイク],I take the bus to school.,私は学校へバスで行きます。
108,ＮＨ,１年,16-17,how,疑問詞,どんなようす（ぐあい）で,[ハウ],How are you today?,元気ですか？
109,ＮＨ,１年,16-17,now,副詞,今、現在は,[ナウ],Let's eat now.,さあ、今食べましょう。
110,ＮＨ,１年,16-17,in,前置詞,…に所属して、参加して,[イン],My pencil is in the bag.,私の鉛筆はカバンの中にあります。
111,ＮＨ,１年,16-17,wow,感動詞,うわあ、わあ,[ワオ],"Wow, that's amazing!",わあ、すごい！
112,ＮＨ,１年,16-17,How about you?,,あなたはどうですか。,[ハウ アバウト ユー],I like soccerHow about you?,私はサッカーが好きです。あなたはどう？
113,ＮＨ,１年,19-21,class,名詞,学級、組、クラス,[クラス],Our class is very fun.,私たちのクラスはとても楽しいです。
114,ＮＨ,１年,19-21,Canada,固有名詞,カナダ,[カナダ],I'm from Canada.,私はカナダ出身です。
115,ＮＨ,１年,19-21,America,固有名詞,アメリカ（合衆国）,[アメリカ],She lives in America.,彼女はアメリカに住んでいます。
116,ＮＨ,１年,19-21,our,代名詞（所有格）,私たちの,[アワ],Our dog is very cute.,私たちの犬はとてもかわいいです。
117,ＮＨ,１年,19-21,Ms.,,[女性]…さん、先生,[ミズ],Ms. Lee is my teacher.,リー先生は私の先生です。
118,ＮＨ,１年,19-21,Mr.,,[男性]…さん、先生,[ミスター],Mr. Smith is very kind.,スミス先生はとても親切です。
119,ＮＨ,１年,19-21,teacher,名詞,先生、教師,[ティーチャー],My teacher is nice.,私の先生は優しいです。
120,ＮＨ,１年,19-21,team,名詞,チーム、組,[チーム],We have a great team.,私たちは素晴らしいチームを持っています。
121,ＮＨ,１年,19-21,he,代名詞,彼は[が],[ヒー],He is my brother.,彼は私の兄（弟）です。
122,ＮＨ,１年,19-21,she,代名詞,彼女は[が],[シー],She is my sister.,彼女は私の姉（妹）です。
123,ＮＨ,１年,19-21,new,形容詞,新しい、新任の,[ニュー],I have a new bag.,私は新しいカバンを持っています。
124,ＮＨ,１年,19-21,cool,形容詞,かっこいい,[クール],Your shoes are cool!,あなたの靴、かっこいいね！
125,ＮＨ,１年,19-21,on,前置詞,…の一員で、…に属して,[オン],The book is on the table.,本は机の上にあります。
126,ＮＨ,１年,19-21,at,前置詞,…は、…が、…に関しては,[アット],I'm good at English at school.,私は学校で英語が得意です。
127,ＮＨ,１年,19-21,he's,,he is の短縮形,[ヒーズ],He's my classmate.,彼は私のクラスメートです。
128,ＮＨ,１年,19-21,she's,,ｓhe is の短縮形,[シーズ],She's very smart.,彼女はとても頭がいいです。
129,ＮＨ,１年,19-21,be good at (…ing),,（…することが）じょうずだ、得意だ,[ビー グッド アット],I'm good at drawing.,私は絵を描くのが得意です。
130,ＮＨ,１年,22-23,parent,名詞,親、（複数形で）両親,[ペアレント],My parent is at work.,私の親は仕事中です。
131,ＮＨ,１年,22-23,China,固有名詞,中国,[チャイナ],He is from China.,彼は中国出身です。
132,ＮＨ,１年,22-23,cannot,助動詞（否定）,…できない,[キャノット],I cannot swim fast.,私は速く泳げません。
133,ＮＨ,１年,22-23,some,形容詞,いくつかの、いくらかの,[サム],I have some pencils.,私はいくつか鉛筆を持っています。
134,ＮＨ,１年,22-23,Chinese,形容詞・名詞（国籍・言語）,中国の,[チャイニーズ],I study Chinese at school.,私は学校で中国語を勉強しています。
135,ＮＨ,１年,22-23,food,名詞,食べ物,[フード],I like Chinese food.,私は中華料理が好きです。
136,ＮＨ,１年,22-23,father,名詞,父、お父さん,[ファーザー],My father is at home.,私の父は家にいます。
137,ＮＨ,１年,22-23,that,代名詞,そのこと、それ,[ザット],That is my bag.,あれは私のカバンです。
138,ＮＨ,１年,22-23,make,動詞,…を作る、得る,[メイク],I make lunch every day.,私は毎日昼ごはんを作ります。
139,ＮＨ,１年,22-23,read,動詞,（…を）読む、読んで知る,[リード],I read a book before bed.,寝る前に本を読みます。
140,ＮＨ,１年,22-23,see,動詞,（…が）わかる、理解する,[シー],I see a bird in the tree.,木の中に鳥が見えます。
141,ＮＨ,１年,22-23,can,助動詞,…することができる,[キャン],I can swim.,私は泳げます。
142,ＮＨ,１年,22-23,very,副詞,非常に、とても,[ベリー],She is very kind.,彼女はとても親切です。
143,ＮＨ,１年,22-23,well,副詞,じょうずに、うまく,[ウェル],He sings well.,彼は上手に歌います。
144,ＮＨ,１年,22-23,really,副詞（短縮形）,本当ですか、へえ,[リアリー],I really like this movie.,この映画が本当に好きです。
145,ＮＨ,１年,22-23,that's,,that is の短縮形,[ザッツ],That's my favorite song.,それは私のお気に入りの歌です。
146,ＮＨ,１年,22-23,can't,,cannnot の短縮形,[キャント],I can't play the piano.,私はピアノが弾けません。
147,ＮＨ,１年,22-23,I see.,,なるほど、わかった。,[アイ シー],I see.,なるほど。
148,ＮＨ,１年,24-25,excuse,動詞,…を許す,[エクスキューズ],"Excuse me, where is the bathroom?",すみません、トイレはどこですか？
149,ＮＨ,１年,24-25,welcome,形容詞,歓迎される,[ウェルカム],You're welcome.,どういたしまして。
150,ＮＨ,１年,24-25,here,副詞,さあ、ほら,[ヒア],Please sit here.,ここに座ってください。
151,ＮＨ,１年,24-25,oops,,おっと、うわっ,[ウップス],Oops! I dropped my pen.,おっと！ペンを落としました。
152,ＮＨ,１年,24-25,bird,名詞,鳥,[バード],A bird is flying.,鳥が飛んでいます。
153,ＮＨ,１年,24-25,your,代名詞,あなた（たち）の,[ユア],Is this your book?,これはあなたの本ですか？
154,ＮＨ,１年,24-25,it,代名詞,それは[が],[イット],It is a sunny day.,今日は晴れです。
155,ＮＨ,１年,24-25,thank,動詞,…に感謝する,[サンク],Thank you very much.,ありがとうございます。
156,ＮＨ,１年,24-25,you're,,you are の短縮形,[ユア],You're welcome.,どういたしまして。
157,ＮＨ,１年,24-25,it's,,it is の短縮形,[イッツ],It's cold today.,今日は寒いです。
158,ＮＨ,１年,24-25,Excuse me.,,すみません。失礼ですが。,[エクスキューズ ミー],Excuse me.,すみません。
159,ＮＨ,１年,24-25,Here you are.,,はい、どうぞ。,[ヒア ユー アー],Here you are.,はい、どうぞ。
160,ＮＨ,１年,24-25,Thank you.,,ありがとう。,[サンキュー],Thank you.,ありがとう。
161,ＮＨ,１年,24-25,You're welcome.,,どういたしまして。,[ユーアー ウェルカム],You're welcome.,どういたしまして。
162,ＮＨ,１年,26-27,e-mail,名詞,Ｅメール,[イーメール],I got your e-mail.,あなたのメールを受け取りました。
163,ＮＨ,１年,26-27,May,名詞,５月,[メイ],I was born in May.,私は５月生まれです。
164,ＮＨ,１年,26-27,green,名詞,緑（の）,[グリーン],I like green tea.,緑茶が好きです。
165,ＮＨ,１年,26-27,tea,名詞,茶、紅茶,[ティー],I don't like tea.,私は紅茶が好きではありません。
166,ＮＨ,１年,26-27,blue,名詞,青（の）,[ブルー],The sky is blue.,空は青いです。
167,ＮＨ,１年,26-27,juice,名詞,ジュース,[ジュース],I want some juice.,ジュースが欲しいです。
168,ＮＨ,１年,26-27,train,名詞,列車、電車,[トレイン],The train is late.,電車が遅れています。
169,ＮＨ,１年,26-27,rain,名詞,雨,[レイン],I don't like rain.,雨は好きではありません。
170,ＮＨ,１年,26-27,fruit,名詞,果物、果実,[フルーツ],I eat fruit every morning.,毎朝果物を食べます。
171,ＮＨ,１年,26-27,sea,名詞,海、海洋,[シー],I swim in the sea.,海で泳ぎます。
172,ＮＨ,１年,26-27,season,名詞,季節,[シーズン],Spring is my favorite season.,春は私の好きな季節です。
173,ＮＨ,１年,26-27,day,名詞,日、１日,[デイ],Today is a good day.,今日はいい日です。
174,ＮＨ,１年,26-27,book,名詞,本,[ブック],I bought a new book.,新しい本を買いました。
175,ＮＨ,１年,26-27,room,名詞,部屋,[ルーム],My room is clean.,私の部屋はきれいです。
176,ＮＨ,１年,26-27,classroom,名詞,教室,[クラスルーム],Our classroom is big.,私たちの教室は広いです。
177,ＮＨ,１年,26-27,textbook,名詞,教科書,[テキストブック],I opened my textbook.,教科書を開きました。
178,ＮＨ,１年,26-27,notebook,名詞,ノート,[ノートブック],This is my notebook.,これは私のノートです。
179,ＮＨ,１年,26-27,today,名詞,今日（は）、現在（では）,[トゥデイ],Today is Monday.,今日は月曜日です。
180,ＮＨ,１年,26-27,glue,名詞,接着剤、のり,[グルー],Use glue to make it stick.,くっつけるにはのりを使ってください。
181,ＮＨ,１年,26-27,beef,名詞,牛肉,[ビーフ],I ate beef for dinner.,夕食に牛肉を食べました。
182,ＮＨ,１年,26-27,peach,名詞,モモ,[ピーチ],She likes peach juice.,彼女はピーチジュースが好きです。
183,ＮＨ,１年,26-27,beach,名詞,浜、海辺、ビーチ,[ビーチ],I went to the beach.,ビーチに行きました。
184,ＮＨ,１年,26-27,cheese,名詞,チーズ,[チーズ],I like cheese.,チーズが好きです。
185,ＮＨ,１年,26-27,zoo,名詞,動物園,[ズー],Let's go to the zoo.,動物園に行きましょう。
186,ＮＨ,１年,26-27,swimming pool,名詞,プール,[スイミング プール],The swimming pool is open.,プールが開いています。
187,ＮＨ,１年,26-27,cooking,名詞,料理、料理法,[クッキング],I like cooking with my mom.,お母さんと一緒に料理するのが好きです。
188,ＮＨ,１年,26-27,green tea,名詞,緑茶,[グリーン ティー],Green tea is healthy.,緑茶は健康に良いです。
189,ＮＨ,１年,26-27,speak,動詞,（ある言語を）話す,[スピーク],I can speak English.,私は英語が話せます。
190,ＮＨ,１年,26-27,cook,動詞,（…を）料理する,[クック],He can cook well.,彼は料理が上手です。
191,ＮＨ,１年,26-27,drink,動詞,…を飲む,[ドリンク],I drink milk every morning.,毎朝牛乳を飲みます。
192,ＮＨ,１年,26-27,rainy,形容詞,雨の、雨の多い,[レイニー],It's a rainy day.,今日は雨の日です。
193,ＮＨ,１年,26-27,usually,副詞,たいてい、ふつう,[ユージュアリー],I usually walk to school.,たいてい歩いて学校に行きます。
194,ＮＨ,１年,31-33,character,名詞,登場人物,[キャラクター],That character is funny.,そのキャラクターは面白いです。
195,ＮＨ,１年,31-33,symbol,名詞,シンボル、記号,[シンボル],What does this symbol mean?,この記号は何を意味しますか？
196,ＮＨ,１年,31-33,interesting,形容詞,おもしろい、興味深い,[インタレスティング],This book is interesting.,この本は面白いです。
197,ＮＨ,１年,31-33,favorite,形容詞,いちばん好きな、お気に入りの,[フェイバリット],My favorite color is blue.,私の好きな色は青です。
198,ＮＨ,１年,31-33,also,副詞,…もまた、そのうえ,[オルソー],I also like cats.,私も猫が好きです。
199,ＮＨ,１年,31-33,for,前置詞,…のかわりに、…に相当する,[フォー],This gift is for you.,このプレゼントはあなたのためです。
200,ＮＨ,１年,31-33,family,名詞,一族,[ファミリー],I love my family.,私は家族が大好きです。
201,ＮＨ,１年,31-33,what,疑問詞,何、どんなもの[こと],[ホワット],What is your name?,あなたの名前は何ですか？
202,ＮＨ,１年,31-33,who,疑問詞,だれ、だれが,[フー],Who is that girl?,あの女の子は誰ですか？
203,ＮＨ,１年,31-33,kind,形容詞,親切な、やさしい,[カインド],He is a kind boy.,彼は優しい男の子です。
204,ＮＨ,１年,31-33,brave,形容詞,勇かんな、勇ましい,[ブレイブ],She is brave.,彼女は勇敢です。
205,ＮＨ,１年,31-33,why,疑問詞,なぜ、どうして,[ホワイ],Why are you sad?,なぜ悲しいの？
206,ＮＨ,１年,31-33,what's,,what is の短縮形,[ホワッツ],What's your hobby?,あなたの趣味は何ですか？
207,ＮＨ,１年,31-33,who's,,who is の短縮形,[フーズ],Who's your teacher?,あなたの先生は誰ですか？
208,ＮＨ,１年,34-35,online,副詞,オンラインで,[オンライン],I study online.,私はオンラインで勉強しています。
209,ＮＨ,１年,34-35,around,前置詞,…の近くに,[アラウンド],I walk around the park.,公園のまわりを歩きます。
210,ＮＨ,１年,34-35,after,前置詞,…のあとに[で],[アフター],I brush my teeth after dinner.,夕食の後に歯を磨きます。
211,ＮＨ,１年,34-35,live,動詞,住む、住んでいる,[リブ],I live in Tokyo.,私は東京に住んでいます。
212,ＮＨ,１年,34-35,come,動詞,来る、（相手のところへ）行く,[カム],"Come here, please.",こちらへ来てください。
213,ＮＨ,１年,34-35,walk,動詞,（…を）歩く、歩いていく,[ウォーク],I walk to school.,学校まで歩いています。
214,ＮＨ,１年,34-35,study,動詞,（…を）勉強する、研究する,[スタディ],I study English every day.,毎日英語を勉強しています。
215,ＮＨ,１年,34-35,when,疑問詞,いつ、どんなときに,[ウェン],When is your birthday?,あなたの誕生日はいつですか？
216,ＮＨ,１年,34-35,by,前置詞,…によって,[バイ],I go to school by bus.,バスで学校へ行きます。
217,ＮＨ,１年,36-37,hallway,名詞,ろうか,[ホールウェイ],Don't run in the hallway.,廊下を走らないでください。
218,ＮＨ,１年,36-37,luck,名詞,運、幸運,[ラック],Good luck on your test!,テスト、頑張ってね！
219,ＮＨ,１年,36-37,win,動詞,（…に）勝つ,[ウィン],I want to win the game.,試合に勝ちたいです。
220,ＮＨ,１年,36-37,next,形容詞,次の、今度の,[ネクスト],I will go next.,次は私の番です。
221,ＮＨ,１年,36-37,near,前置詞,…の近くに[で],[ニア],My house is near the station.,私の家は駅の近くにあります。
222,ＮＨ,１年,36-37,park,名詞,公園、遊園地,[パーク],We play at the park.,私たちは公園で遊びます。
223,ＮＨ,１年,36-37,station,名詞,駅,[ステーション],The station is over there.,駅はあそこです。
224,ＮＨ,１年,36-37,practice,動詞,（…を）練習する,[プラクティス],I practice the piano every day.,毎日ピアノを練習します。
225,ＮＨ,１年,36-37,go,動詞,行く,[ゴー],I go to school at .,時に学校へ行きます。
226,ＮＨ,１年,36-37,where,疑問詞,どこに[で、へ],[ウェア],Where is my book?,私の本はどこ？
227,ＮＨ,１年,36-37,hard,副詞,熱心に、一生懸命に,[ハード],This test is hard.,このテストは難しいです。
228,ＮＨ,１年,36-37,when's,,when is の短縮形,[ウェンズ],When's the party?,パーティーはいつ？
229,ＮＨ,１年,36-37,where's,,where is の短縮形,[ウェアズ],Where's your bag?,あなたのカバンはどこ？
230,ＮＨ,１年,36-37,Good luck.,,幸運を祈ります。がんばって。,[グッド ラック],Good luck!,頑張ってね！
231,ＮＨ,１年,38-39,sister,名詞,姉、妹、姉妹,[シスター],I have one sister.,私には妹が一人います。
232,ＮＨ,１年,38-39,car,名詞,車、自動車,[カー],This is my car.,これは私の車です。
233,ＮＨ,１年,38-39,girl,名詞,女の子、少女,[ガール],She is a nice girl.,彼女は素敵な女の子です。
234,ＮＨ,１年,38-39,boy,名詞,男の子、少年,[ボーイ],The boy is playing soccer.,その男の子はサッカーをしています。
235,ＮＨ,１年,38-39,brown,名詞,茶色（の）,[ブラウン],I have a brown bag.,私は茶色のかばんを持っています。
236,ＮＨ,１年,38-39,water,名詞,水,[ウォーター],I drink water every day.,毎日水を飲みます。
237,ＮＨ,１年,38-39,T-shirt,名詞,Ｔシャツ,[ティーシャツ],This is my favorite T-shirt.,これは私のお気に入りのTシャツです。
238,ＮＨ,１年,38-39,star,名詞,星,[スター],Look at the star in the sky.,空に星を見てください。
239,ＮＨ,１年,38-39,baseball,名詞,野球,[ベースボール],I play baseball with friends.,友達と野球をします。
240,ＮＨ,１年,38-39,summer,名詞,夏,[サマー],Summer is hot.,夏は暑いです。
241,ＮＨ,１年,38-39,winter,名詞,冬,[ウィンター],Winter is cold.,冬は寒いです。
242,ＮＨ,１年,38-39,house,名詞,家、住宅,[ハウス],My house is big.,私の家は大きいです。
243,ＮＨ,１年,38-39,town,名詞,町,[タウン],This town is quiet.,この町は静かです。
244,ＮＨ,１年,38-39,sound,名詞,音,[サウンド],What is that sound?,その音は何ですか？
245,ＮＨ,１年,38-39,mother,名詞,母、お母さん,[マザー],My mother is kind.,私の母は優しいです。
246,ＮＨ,１年,38-39,fall,名詞,秋,[フォール],Leaves fall in autumn.,秋には葉が落ちます。
247,ＮＨ,１年,38-39,party,名詞,パーティー,[パーティー],Let's have a party!,パーティーをしましょう！
